# Модель: gigachat3.1-10b-a1.8b
# Путь: D:\TEST_AI1
# Среднее время ответа модели: 7.915 с
# Общее время ответов: 427.395 с
# Минимальное время: 2.593 с
# Максимальное время: 14.558 с
# Количество обработанных файлов: 54
# Дата: 2026-04-01 08:28:47

Путь	Результат	Время_ответа_с
D:\TEST_AI1\63637\2 Договорные документы\Договор №ТР.СК.0809-25 от 08.09.2025 г..pdf	Документация: Договор; Раздел: —; Заказчик: Общество с ограниченной ответственностью «Компания ТОР»; Исполнитель: Общество с ограниченной ответственностью «СИСТЕМ «Компания»; Проект: №ТР/СК/0809-25; Объект: МБОУ г. Ивантеевка «Гимназия №3» (Корпус 2 - дошкольное отделение «Ручеёк»), Московская область, г. Ивантеевка, ул. Богданова, д. 1.	14.558
D:\TEST_AI1\63637\3 Заявление\Заявление в экспертизу.pdf	"Документация: Заявление; Раздел: —; Заказчик: —; Исполнитель: —; Проект: —; Объект: Выполнение работ по капитальному ремонту с поставкой оборудования, необходимого для обеспечения эксплуатации такого объекта: МБОУ г. Ивантеевка ""Гимназия №3"" (Корпус 2 - дошкольное отделение ""Ручеёк"") расположенного по адресу: Московская область, г. Ивантеевка, ул. Богданова, д. 1;"	7.010
D:\TEST_AI1\63637\3 Заявление\ЛК-МО-63637 Заявление.pdf	Документация: Заявление; Раздел: —; Заказчик: —; Исполнитель: —; Проект: ЛК-МО-63637; Объект: —	3.243
D:\TEST_AI1\63637\4-1-02 Схема организации участка\Раздел ПД№2 ТР-СК-0809-25-ПЗУ.pdf	"Документация: Проектная документация; Раздел: Раздел 2. Схема планировочной организации земельного участка; Заказчик: Государственное казенное учреждение Московской области ""Дирекция заказчика капитального строительства""; Исполнитель: ООО «Компания ТОР»; Проект: ТР/СК/809-25-ПЗУ; Объект: МБОУ2 г. Ивантеевка ""Гимназия №3"" (Корпус 2 - дошкольное отделение ""Ручеёк""), Московская область, г. Ивантеевка, ул. Богданова, д. 1."	8.245
D:\TEST_AI1\63637\4-1-03 Архитектурные решения\Раздел ПД№3 ТР-СК-0809-25-АР.pdf	"Документация: Проектная документация; Раздел: Раздел 3. Объемно-планировочные и архитектурные решения; Заказчик: Государственное казенное учреждение Московской области ""Дирекция заказчика капитального строительства""; Исполнитель: ООО «Компания ТОР»; Проект: ТР/СК/809-25-АР; Объект: МБОУ ""Гимназия №3"", г. Ивантеевка, ул. Богданова, д. 1"	7.273
D:\TEST_AI1\63637\4-1-03 Архитектурные решения\Раздел ПД№3 ТР-СК-0809-25-АР.С.pdf	"Документация: Проектная документация; Раздел: Объемно-планировочные и архитектурные решения. Ведомости и спецификации; Заказчик: Государственное казенное учреждение Московской области ""Дирекция заказчика капитального строительства""; Исполнитель: ООО «Компания ТОР»; Проект: ТР/СК/0809-25-АР.С; Объект: МБОУ г. Ивантеевка ""Гимназия №3"" (Корпус 2 - дошкольное отделение ""Ручеёк""), Московская область, г. Ивантеевка, ул. Богданова, д. 1."	9.074
D:\TEST_AI1\63637\4-1-04 Конструктивные реш-я\Раздел ПД№4 ТР-СК-0809-25-КР.pdf	"Документация: Проектная документация; Раздел: Раздел 4. Конструктивные решения; Заказчик: Государственное казенное учреждение Московской области ""Дирекция заказчика капитального строительства""; Исполнитель: ООО «Компания ТОР»; Проект: ТР/СК/0809-25-КР; Объект: МБОУ г. Ивантеевка ""Гимназия №3"" (Корпус 2 - дошкольное отделение ""Ручеёк""), Московская область, г. Ивантеевка, ул. Богданова, д. 1"	8.610
D:\TEST_AI1\63637\4-1-04 Конструктивные реш-я\Раздел ПД№4 ТР-СК-0809-25-КР.С.pdf	"Документация: Проектная документация; Раздел: Конструктивные решения. Ведомости и спецификации; Заказчик: Государственное казенное учреждение Московской области ""Дирекция заказчика капитального строительства""; Исполнитель: ООО «Компания ТОР»; Проект: ТР/СК/0809-25-КР.С; Объект: МБОУ г. Ивантеевка ""Гимназия №3"" (Корпус 2 - дошкольное отделение ""Ручеёк""), Московская область, г. Ивантеевка, ул. Богданова, д. 1"	8.498
D:\TEST_AI1\63637\4-1-05-1 Система электроснабж\Раздел ПД№5 Подраздел ПД№1 ТР-СК-0809-25-ИОС1.1 Часть 1.pdf	"Документация: Проектная документация; Раздел: Раздел 5. Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения; Заказчик: Государственное казенное учреждение Московской области ""Дирекция заказчика капитального строительства""; Исполнитель: ООО «Компания ТОР»; Проект: ТР/СК/0809-25-ИОС1.1; Объект: МБОУ г. Ивантеевка ""Гимназия №3"" (Корпус 2 - дошкольное отделение ""Ручеёк""), Московская область, г. Ивантеевка, ул. Богданова, д. 1."	9.556
D:\TEST_AI1\63637\4-1-05-1 Система электроснабж\Раздел ПД№5 Подраздел ПД№1 ТР-СК-0809-25-ИОС1.2 Часть 2.pdf	"Документация: Проектная документация; Раздел: Раздел 5. Сведения об инженерном оборудовании, о сетях и системах инженерно- технического обеспечения; Заказчик: Государственное казенное учреждение Московской области ""Дирекция заказчика капитального строительства""; Исполнитель: ООО «Компания ТОР»; Проект: ТР/СК/0809-25-ИОС1.2; Объект: МБОУ г. Ивантеевка ""Гимназия №3"" (Корпус 2 - дошкольное отделение ""Ручеёк""), Московская область, г. Ивантеевка, ул. Богданова, д. 1."	9.605
